"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","REPORT_TYPE","SOURCE","AWND","CDSD","CLDD","DYHF","DailyAverageDryBulbTemperature","DailyAverageStationPressure","DailyAverageWindSpeed","DailyCoolingDegreeDays","DailyDepartureFromNormalAverageTemperature","DailyHeatingDegreeDays","DailyMaximumDryBulbTemperature","DailyMinimumDryBulbTemperature","DailyPeakWindDirection","DailyPeakWindSpeed","DailyPrecipitation","DailySustainedWindDirection","DailySustainedWindSpeed","DailyWeather","HDSD","HTDD","HourlyAltimeterSetting","HourlyDewPointTemperature","HourlyDryBulbTemperature","HourlyPrecipitation","HourlyPresentWeatherType","HourlyPressureChange","HourlyPressureTendency","HourlyRelativeHumidity","HourlySeaLevelPressure","HourlySkyConditions","HourlyStationPressure","HourlyVisibility","HourlyWetBulbTemperature","HourlyWindDirection","HourlyWindGustSpeed","HourlyWindSpeed","MonthlyDaysWithGT001Precip","MonthlyDaysWithGT010Precip","MonthlyDaysWithGT32Temp","MonthlyDaysWithGT90Temp","MonthlyDaysWithLT0Temp","MonthlyDaysWithLT32Temp","MonthlyDepartureFromNormalAverageTemperature","MonthlyDepartureFromNormalCoolingDegreeDays","MonthlyDepartureFromNormalHeatingDegreeDays","MonthlyDepartureFromNormalMaximumTemperature","MonthlyDepartureFromNormalMinimumTemperature","MonthlyDepartureFromNormalPrecipitation","MonthlyGreatestPrecip","MonthlyGreatestPrecipDate","MonthlyMaxSeaLevelPressureValue","MonthlyMaxSeaLevelPressureValueDate","MonthlyMaxSeaLevelPressureValueTime","MonthlyMaximumTemperature","MonthlyMeanTemperature","MonthlyMinSeaLevelPressureValue","MonthlyMinSeaLevelPressureValueDate","MonthlyMinSeaLevelPressureValueTime","MonthlyMinimumTemperature","MonthlySeaLevelPressure","MonthlyStationPressure","MonthlyTotalLiquidPrecipitation","NormalsCoolingDegreeDay","NormalsHeatingDegreeDay","REM","REPORT_TYPE","SOURCE","ShortDurationEndDate005","ShortDurationEndDate010","ShortDurationEndDate015","ShortDurationEndDate020","ShortDurationEndDate030","ShortDurationEndDate045","ShortDurationEndDate060","ShortDurationEndDate080","ShortDurationEndDate100","ShortDurationEndDate120","ShortDurationEndDate150","ShortDurationEndDate180","ShortDurationPrecipitationValue005","ShortDurationPrecipitationValue010","ShortDurationPrecipitationValue015","ShortDurationPrecipitationValue020","ShortDurationPrecipitationValue030","ShortDurationPrecipitationValue045","ShortDurationPrecipitationValue060","ShortDurationPrecipitationValue080","ShortDurationPrecipitationValue100","ShortDurationPrecipitationValue120","ShortDurationPrecipitationValue150","ShortDurationPrecipitationValue180","Sunrise","Sunset","WindEquipmentChangeDate"
"72793524234","SEATTLE BOEING FIELD, WA US","47.54554","-122.31475","7.6","2024-03-01T08:53:00","FM-15","7",,,,,,,,,,,,,,,,,,,,,"29.51","33","40","0.00",,,,"77","29.51","SCT:04 20 BKN:07 50","29.48","10.00","37","150",,"7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MET10503/01/24 08:53:02 METAR KBFI 011653Z 15006KT 10SM SCT020 BKN050 04/01 A2951 RMK AO2 SLP992 T00440006 (LG)","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,"2007-05-17"
"72793524234","SEATTLE BOEING FIELD, WA US","47.54554","-122.31475","7.6","2024-03-01T09:53:00","FM-15","7",,,,,,,,,,,,,,,,,,,,,"29.50","33","42","0.00",,"0.02","8","71","29.49","FEW:02 20 BKN:07 110","29.47","10.00","38","160",,"9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MET12903/01/24 09:53:02 METAR KBFI 011753Z 16008KT 10SM FEW020 BKN110 06/01 A2950 RMK AO2 SLP988 60000 T00560006 10056 20022 58008 (LG)","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,"2007-05-17"
"72793524234","SEATTLE BOEING FIELD, WA US","47.54554","-122.31475","7.6","2024-03-01T10:53:00","FM-15","7",,,,,,,,,,,,,,,,,,,,,"29.50","32","42","0.00",,,,"68","29.50","BKN:07 38 OVC:08 47","29.47","10.00","38","260",,"6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MET10503/01/24 10:53:02 METAR KBFI 011853Z 26005KT 10SM BKN038 OVC047 06/00 A2950 RMK AO2 SLP989 T00560000 (LG)","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,"2007-05-17"
"72793524234","SEATTLE BOEING FIELD, WA US","47.54554","-122.31475","7.6","2024-03-01T11:24:00","FM-16","7",,,,,,,,,,,,,,,,,,,,,"29.51","33","40","T","-RA:02 |RA |RA",,,"77",,"BKN:07 24 OVC:08 30","29.48","8.00","37","170",,"8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MET11303/01/24 11:24:02 SPECI KBFI 011924Z 17007KT 8SM -RA BKN024 OVC030 04/01 A2951 RMK AO2 RAB00 P0000 T00440006 (LG)","FM-16","7",,,,,,,,,,,,,,,,,,,,,,,,,,,"2007-05-17"
"72793524234","SEATTLE BOEING FIELD, WA US","47.54554","-122.31475","7.6","2024-03-01T11:51:00","FM-16","6",,,,,,,,,,,,,,,,,,,,,"29.51","34","39",,"-RA:02 |RA |RA",,,"81",,"BKN:07 11 OVC:08 23","29.48","5.00","37","180",,"8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MET10803/01/24 11:51:02 SPECI KBFI 011951Z 18007KT 5SM -RA BKN011 OVC023 04/01 A2951 RMK AO2 RAB00 P0001 FIBI (LG)","FM-16","6",,,,,,,,,,,,,,,,,,,,,,,,,,,"2007-05-17"
"72793524234","SEATTLE BOEING FIELD, WA US","47.54554","-122.31475","7.6","2024-03-01T11:53:00","FM-15","7",,,,,,,,,,,,,,,,,,,,,"29.51","33","39","0.02","-RA:02 |RA |RA",,,"79","29.51","BKN:07 11 OVC:08 23","29.48","4.00","37","180",,"9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MET12003/01/24 11:53:02 METAR KBFI 011953Z 18008KT 4SM -RA BKN011 OVC023 04/01 A2951 RMK AO2 RAB00 SLP992 P0001 T00390006 (LG)","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,"2007-05-17"
"72793524234","SEATTLE BOEING FIELD, WA US","47.54554","-122.31475","7.6","2024-03-01T12:53:00","FM-15","6",,,,,,,,,,,,,,,,,,,,,"29.50","34","38","0.02","-RA:02 |RA |RA","0.00","0","86","29.49","BKN:07 13 OVC:08 22","29.47","8.00","36","200",,"5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MET12603/01/24 12:53:02 METAR KBFI 012053Z 20004KT 8SM -RA BKN013 OVC022 03/01 A2950 RMK AO2 SLP988 P0002 60003 T00330011 50000 (LG)","FM-15","6",,,,,,,,,,,,,,,,,,,,,,,,,,,"2007-05-17"
"72793524234","SEATTLE BOEING FIELD, WA US","47.54554","-122.31475","7.6","2024-03-01T13:53:00","FM-15","7",,,,,,,,,,,,,,,,,,,,,"29.51","35","38","0.04","-RA:02 |RA |RA",,,"89","29.51","BKN:07 13 OVC:08 22","29.48","8.00","37","170",,"7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MET11403/01/24 13:53:02 METAR KBFI 012153Z 17006KT 8SM -RA BKN013 OVC022 03/02 A2951 RMK AO2 SLP992 P0005 T00330017 (LG)","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,"2007-05-17"
"72793524234","SEATTLE BOEING FIELD, WA US","47.54554","-122.31475","7.6","2024-03-01T14:51:00","FM-16","6",,,,,,,,,,,,,,,,,,,,,"29.51","36","39",,,,,"87",,"SCT:04 22 BKN:07 40","29.48","10.00","38","160",,"7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MET10503/01/24 14:51:02 SPECI KBFI 012251Z 16006KT 10SM SCT022 BKN040 04/02 A2951 RMK AO2 RAE32 P0000 FIBI (LG)","FM-16","6",,,,,,,,,,,,,,,,,,,,,,,,,,,"2007-05-17"
"72793524234","SEATTLE BOEING FIELD, WA US","47.54554","-122.31475","7.6","2024-03-01T14:53:00","FM-15","7",,,,,,,,,,,,,,,,,,,,,"29.51","36","40","T",,,,"86","29.51","SCT:04 22 BKN:07 40","29.48","10.00","38","160",,"8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MET11703/01/24 14:53:02 METAR KBFI 012253Z 16007KT 10SM SCT022 BKN040 04/02 A2951 RMK AO2 RAE32 SLP992 P0000 T00440022 (LG)","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,"2007-05-17"
